date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:10:35	26680/26680	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:35%20GMT	http://www.spheretheme.com/steam/index.html	www.spheretheme.com/steam/index.html	(from )
06:10:36	14/14	---M--	200	added ('OK')	text/plain	date:Sat,%2027%20Oct%202018%2000:40:36%20GMT	http://www.spheretheme.com/robots.txt		(from )
06:10:36	2194/2194	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Oct%202018%2000:40:36%20GMT	http://www.spheretheme.com/steam/favicon.png	www.spheretheme.com/steam/favicon.png	(from http://www.spheretheme.com/steam/index.html)
06:10:39	144877/144877	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Oct%202018%2000:40:36%20GMT	http://www.spheretheme.com/steam/assets/libs/bootstrap-4.0.0-dist/css/bootstrap.min.css	www.spheretheme.com/steam/assets/libs/bootstrap-4.0.0-dist/css/bootstrap.min.css	(from http://www.spheretheme.com/steam/index.html)
06:10:40	108707/108707	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Oct%202018%2000:40:37%20GMT	http://www.spheretheme.com/steam/assets/libs/icofont/css/icofont.css	www.spheretheme.com/steam/assets/libs/icofont/css/icofont.css	(from http://www.spheretheme.com/steam/index.html)
06:10:42	93347/93347	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Oct%202018%2000:40:39%20GMT	http://www.spheretheme.com/steam/assets/css/style.css	www.spheretheme.com/steam/assets/css/style.css	(from http://www.spheretheme.com/steam/index.html)
06:10:44	5167/5167	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Oct%202018%2000:40:42%20GMT	http://www.spheretheme.com/steam/assets/switch-style/demo.css	www.spheretheme.com/steam/assets/switch-style/demo.css	(from http://www.spheretheme.com/steam/index.html)
06:10:45	7285/7285	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Oct%202018%2000:40:44%20GMT	http://www.spheretheme.com/steam/assets/images/logo/logo-icon.png	www.spheretheme.com/steam/assets/images/logo/logo-icon.png	(from http://www.spheretheme.com/steam/index.html)
06:10:46	112078/112078	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:45%20GMT	http://www.spheretheme.com/steam/index-1.html	www.spheretheme.com/steam/index-1.html	(from http://www.spheretheme.com/steam/index.html)
06:10:46	112705/112705	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:46%20GMT	http://www.spheretheme.com/steam/index-2.html	www.spheretheme.com/steam/index-2.html	(from http://www.spheretheme.com/steam/index.html)
06:10:47	111929/111929	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:47%20GMT	http://www.spheretheme.com/steam/index-3.html	www.spheretheme.com/steam/index-3.html	(from http://www.spheretheme.com/steam/index.html)
06:10:53	47130/47130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Oct%202018%2000:40:45%20GMT	http://www.spheretheme.com/steam/assets/images/demo/home1.jpg	www.spheretheme.com/steam/assets/images/demo/home1.jpg	(from http://www.spheretheme.com/steam/index.html)
06:10:53	115004/115004	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:53%20GMT	http://www.spheretheme.com/steam/index-onepage.html	www.spheretheme.com/steam/index-onepage.html	(from http://www.spheretheme.com/steam/index.html)
06:10:54	36789/36789	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Oct%202018%2000:40:48%20GMT	http://www.spheretheme.com/steam/assets/images/demo/home3.jpg	www.spheretheme.com/steam/assets/images/demo/home3.jpg	(from http://www.spheretheme.com/steam/index.html)
06:10:54	106300/106300	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:54%20GMT	http://www.spheretheme.com/steam/menu.html	www.spheretheme.com/steam/menu.html	(from http://www.spheretheme.com/steam/index.html)
06:10:56	50900/50900	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Oct%202018%2000:40:47%20GMT	http://www.spheretheme.com/steam/assets/images/demo/home2.jpg	www.spheretheme.com/steam/assets/images/demo/home2.jpg	(from http://www.spheretheme.com/steam/index.html)
06:10:56	91444/91444	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:40:56%20GMT	http://www.spheretheme.com/steam/menu-2.html	www.spheretheme.com/steam/menu-2.html	(from http://www.spheretheme.com/steam/index.html)
06:11:01	42170/42170	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Oct%202018%2000:40:54%20GMT	http://www.spheretheme.com/steam/assets/images/demo/onepage.jpg	www.spheretheme.com/steam/assets/images/demo/onepage.jpg	(from http://www.spheretheme.com/steam/index.html)
06:11:02	36120/36120	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Oct%202018%2000:41:02%20GMT	http://www.spheretheme.com/steam/reservation.html	www.spheretheme.com/steam/reservation.html	(from http://www.spheretheme.com/steam/index.html)
